EmpID,Total Employment Time,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,State,JobFunctionDescription,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Turnover,Age
3427,853,22,2274,1,0,0,2,2,0,3,8,10,1,0,4,3,1,4,0,53
3428,853,22,2338,2,0,0,0,1,0,3,0,10,46,1,2,3,1,3,0,57
3429,853,2,638,5,0,1,1,1,0,4,11,10,7,1,2,3,1,4,0,31
3430,853,2,2325,1,0,0,0,0,0,4,8,14,18,1,3,2,1,2,0,24
3431,853,2,1212,8,0,0,0,2,0,4,9,5,47,0,3,1,1,3,0,53
3432,853,2,2581,0,0,0,1,0,0,4,6,4,28,1,1,1,1,3,0,73
3433,483,2,1118,9,0,1,1,2,1,4,10,2,73,0,2,0,0,4,0,80
3434,746,2,2826,1,0,0,2,0,1,4,4,19,30,0,4,0,1,2,0,65
3435,853,2,2555,4,0,0,1,1,0,4,5,23,34,1,1,3,0,3,0,48
3436,537,2,1033,0,0,2,1,2,2,4,4,23,30,1,0,3,1,5,0,73
3437,853,2,2843,7,0,0,1,2,0,4,6,8,73,0,3,2,1,5,0,58
3438,481,2,374,3,0,1,2,2,3,4,9,6,73,0,0,1,1,3,1,74
3439,246,2,493,2,0,1,0,2,1,4,19,3,69,1,3,2,1,3,1,41
3440,76,2,1063,1,0,0,0,0,2,4,8,9,21,0,4,0,1,3,0,71
3441,853,2,2849,0,0,2,0,1,0,4,9,16,48,1,0,3,0,4,0,33
3442,31,2,254,6,0,1,0,0,3,2,6,10,47,1,1,2,0,2,1,70
3443,716,2,1747,9,0,1,2,1,4,2,14,9,22,1,0,3,1,3,0,28
3444,655,2,1921,4,0,0,0,1,4,4,4,9,25,1,3,3,1,3,1,39
3445,853,2,2064,5,0,0,2,0,0,4,14,9,70,0,3,1,0,4,0,37
